Date,Max Hourly Temp (C),Min Hourly Temp (C),Max Wind Speed (m/s),Total Precip (mm)
2016-11-02,25.555555555555557,16.11111111111111,7.15264,0.31
2016-11-04,17.22222222222222,6.111111111111112,5.81152,0.00
2016-11-05,17.22222222222222,4.444444444444445,3.57632,0.00
2016-11-06,19.444444444444446,6.111111111111112,4.91744,0.00
2016-11-07,20.555555555555557,4.444444444444445,4.4704,0.00
2016-11-09,13.88888888888889,3.3333333333333335,4.91744,0.00
2016-11-10,15.555555555555557,1.1111111111111112,9.83488,0.00
2016-11-11,13.88888888888889,1.6666666666666667,9.38784,0.00
2016-11-12,11.11111111111111,-1.1111111111111112,3.57632,0.00
2016-11-13,13.88888888888889,-2.2222222222222223,6.25856,0.00
2016-11-14,17.22222222222222,2.2222222222222223,7.15264,0.00
2016-11-16,17.77777777777778,2.7777777777777777,4.91744,0.00
2016-11-17,23.333333333333336,5.555555555555555,9.83488,0.00
2016-11-20,2.7777777777777777,-5.555555555555555,5.81152,0.00
2016-11-21,5.555555555555555,-5.555555555555555,3.57632,0.00
2016-11-22,8.333333333333334,-1.1111111111111112,8.9408,0.26
2016-11-25,5.0,3.3333333333333335,5.81152,0.00
2016-11-29,14.444444444444445,6.666666666666667,9.83488,0.00
2016-11-30,6.111111111111112,0.5555555555555556,9.38784,0.00
2016-12-02,5.0,2.2222222222222223,6.7056,0.00
2016-12-05,3.8888888888888893,0.5555555555555556,5.81152,0.00
2016-12-07,1.1111111111111112,-4.444444444444445,8.04672,0.00
2016-12-08,-5.0,-6.666666666666667,11.176,0.00
2016-12-14,-3.8888888888888893,-15.0,11.176,0.00
2016-12-15,-9.444444444444445,-15.0,8.9408,0.00
2016-12-16,-2.2222222222222223,-9.444444444444445,10.28192,0.02
2016-12-19,-7.222222222222222,-18.88888888888889,9.83488,0.00
2016-12-20,0.5555555555555556,-10.0,15.19936,0.00
2016-12-21,5.0,-7.222222222222222,8.04672,0.00
2016-12-27,3.3333333333333335,-3.3333333333333335,9.38784,0.00
2016-12-28,6.111111111111112,-2.7777777777777777,9.38784,0.00
2016-12-29,5.0,0.0,13.85824,0.00
2016-12-30,2.7777777777777777,-4.444444444444445,11.176,0.00
2016-12-31,8.88888888888889,-5.0,10.72896,0.00
2017-01-01,5.0,-7.222222222222222,5.81152,0.00
2017-01-04,-6.111111111111112,-9.444444444444445,10.72896,0.00
2017-01-06,-12.222222222222223,-20.0,6.25856,0.00
2017-01-07,-6.666666666666667,-20.0,7.59968,0.00
2017-01-08,-6.666666666666667,-18.333333333333336,9.83488,0.00
2017-01-13,-0.5555555555555556,-6.666666666666667,7.59968,0.00
2017-01-15,1.1111111111111112,-1.6666666666666667,4.02336,0.00
2017-01-21,17.22222222222222,8.333333333333334,9.38784,0.00
2017-01-24,5.0,1.6666666666666667,8.04672,0.00
2017-01-30,3.8888888888888893,-11.666666666666668,9.83488,0.00
2017-02-02,-1.6666666666666667,-7.222222222222222,8.04672,0.00
2017-02-03,-1.1111111111111112,-8.88888888888889,6.7056,0.00
2017-02-04,1.6666666666666667,-11.666666666666668,10.28192,0.00
2017-02-05,7.777777777777779,-2.7777777777777777,7.15264,0.00
2017-02-09,-7.222222222222222,-14.444444444444445,8.04672,0.00
2017-02-10,9.444444444444445,-8.88888888888889,10.72896,0.00
2017-02-13,7.777777777777779,-5.0,4.91744,0.00
2017-02-14,11.11111111111111,-1.1111111111111112,7.59968,0.00
2017-02-15,6.111111111111112,-3.3333333333333335,8.9408,0.00
2017-02-16,10.555555555555555,-5.0,8.9408,0.00
2017-02-17,20.555555555555557,3.3333333333333335,9.38784,0.00
2017-02-20,22.22222222222222,6.666666666666667,10.72896,0.00
2017-02-21,16.666666666666668,11.11111111111111,4.02336,0.03
2017-02-26,9.444444444444445,-8.333333333333334,11.62304,0.00
2017-02-27,14.444444444444445,0.5555555555555556,8.04672,0.02
2017-03-02,3.8888888888888893,-2.7777777777777777,10.28192,0.00
2017-03-03,3.3333333333333335,-6.666666666666667,5.81152,0.00
2017-03-04,13.88888888888889,-0.5555555555555556,9.38784,0.00
2017-03-05,17.77777777777778,0.5555555555555556,14.30528,0.00
2017-03-08,15.0,1.1111111111111112,14.30528,0.00
2017-03-09,13.88888888888889,0.5555555555555556,9.38784,0.00
2017-03-10,3.8888888888888893,-1.6666666666666667,9.83488,0.00
2017-03-11,1.6666666666666667,-3.8888888888888893,4.91744,0.00
2017-03-12,3.3333333333333335,-6.666666666666667,6.25856,0.00
2017-03-14,-2.7777777777777777,-9.444444444444445,8.04672,0.00
2017-03-15,-1.6666666666666667,-11.11111111111111,6.7056,0.00
2017-03-19,13.333333333333334,-2.2222222222222223,7.15264,0.00
2017-03-20,20.555555555555557,7.222222222222222,9.83488,0.07
