Date,Max Hourly Temp (C),Min Hourly Temp (C),Max Wind Speed (m/s),Daily Precip (mm)
7/19/2015,29.444444444444443,21.11111111111111,5.81152,0.30000000000000004
7/20/2015,28.333333333333332,18.88888888888889,6.25856,0.0
7/21/2015,27.77777777777778,17.22222222222222,4.91744,1.2
7/22/2015,27.22222222222222,13.88888888888889,3.57632,0.0
7/23/2015,28.333333333333332,16.11111111111111,3.57632,0.0
7/24/2015,28.88888888888889,16.11111111111111,4.4704,0.0
7/25/2015,30.0,19.444444444444443,3.57632,0.0
7/26/2015,28.88888888888889,21.11111111111111,3.12928,0.0
7/27/2015,29.444444444444443,20.555555555555557,3.57632,0.0
7/28/2015,32.77777777777778,22.22222222222222,2.68224,0.0
7/29/2015,30.0,18.333333333333332,,10.7
7/30/2015,30.0,16.11111111111111,4.02336,0.0
7/31/2015,30.555555555555557,16.666666666666668,6.25856,0.0
8/1/2015,28.88888888888889,15.0,4.02336,0.0
8/2/2015,31.666666666666668,17.22222222222222,5.81152,0.0
8/3/2015,29.444444444444443,17.22222222222222,4.91744,0.0
8/4/2015,26.666666666666668,14.444444444444445,4.02336,0.0
8/5/2015,27.77777777777778,16.11111111111111,4.02336,0.0
8/6/2015,27.77777777777778,15.555555555555555,6.25856,3.4
8/7/2015,27.22222222222222,13.88888888888889,3.12928,0.0
8/8/2015,29.444444444444443,17.22222222222222,3.12928,0.0
8/9/2015,27.22222222222222,21.666666666666668,4.91744,10.1
8/10/2015,28.88888888888889,20.0,6.25856,0.0
8/11/2015,28.333333333333332,17.22222222222222,5.81152,0.0
8/12/2015,27.77777777777778,15.0,3.12928,0.0
8/13/2015,27.77777777777778,15.0,3.12928,0.0
8/14/2015,30.0,17.77777777777778,3.57632,0.0
8/15/2015,31.11111111111111,19.444444444444443,3.12928,0.0
8/16/2015,31.11111111111111,19.444444444444443,4.02336,0.0
8/17/2015,30.555555555555557,19.444444444444443,4.02336,0.0
8/18/2015,29.444444444444443,20.555555555555557,5.81152,32.7
8/19/2015,26.11111111111111,14.444444444444445,7.15264,4.4
8/20/2015,24.444444444444443,12.777777777777779,6.25856,0.0
8/21/2015,27.22222222222222,11.666666666666666,4.4704,0.0
8/22/2015,25.555555555555557,13.333333333333334,4.91744,0.0
8/23/2015,25.0,13.88888888888889,4.91744,0.0
8/24/2015,24.444444444444443,10.555555555555555,7.15264,0.0
8/25/2015,23.88888888888889,10.0,4.91744,0.0
8/26/2015,22.22222222222222,13.333333333333334,4.4704,0.0
8/27/2015,25.555555555555557,11.666666666666666,3.57632,0.0
8/28/2015,26.11111111111111,13.88888888888889,4.4704,0.0
8/29/2015,27.22222222222222,17.77777777777778,4.4704,0.0
8/30/2015,30.0,17.77777777777778,3.12928,0.0
8/31/2015,30.555555555555557,18.333333333333332,4.02336,0.0
9/1/2015,30.555555555555557,20.555555555555557,6.7056,18.099999999999998
9/2/2015,32.77777777777778,20.0,4.4704,16.5
9/3/2015,33.333333333333336,20.0,4.4704,0.0
9/4/2015,33.888888888888886,19.444444444444443,4.91744,0.0
9/5/2015,32.22222222222222,19.444444444444443,3.12928,10.899999999999999
9/6/2015,34.44444444444444,19.444444444444443,4.4704,0.0
9/7/2015,34.44444444444444,20.555555555555557,4.91744,0.0
9/8/2015,32.22222222222222,20.555555555555557,8.9408,27.200000000000003
9/9/2015,26.666666666666668,17.77777777777778,4.02336,0.3
9/10/2015,28.88888888888889,14.444444444444445,6.7056,1.7
9/11/2015,22.77777777777778,12.222222222222221,6.25856,13.600000000000005
9/12/2015,19.444444444444443,8.88888888888889,5.81152,0.0
9/13/2015,22.77777777777778,7.222222222222222,4.02336,0.0
9/14/2015,27.77777777777778,10.555555555555555,6.7056,0.0
9/15/2015,28.333333333333332,13.88888888888889,7.15264,0.0
9/16/2015,29.444444444444443,12.777777777777779,6.25856,0.0
9/17/2015,30.555555555555557,15.0,7.15264,0.0
9/18/2015,28.333333333333332,21.11111111111111,6.7056,25.4
9/19/2015,22.22222222222222,12.222222222222221,6.25856,16.9
9/20/2015,23.333333333333332,9.444444444444445,7.15264,0.0
9/21/2015,26.11111111111111,9.444444444444445,3.12928,0.0
9/22/2015,28.333333333333332,10.555555555555555,3.12928,0.0
9/23/2015,29.444444444444443,12.777777777777779,4.02336,0.0
9/24/2015,28.333333333333332,12.777777777777779,4.02336,0.0
9/25/2015,28.88888888888889,14.444444444444445,6.7056,0.0
9/26/2015,26.11111111111111,14.444444444444445,6.7056,0.0
9/27/2015,25.555555555555557,15.555555555555555,3.57632,0.0
9/28/2015,27.77777777777778,17.22222222222222,3.12928,0.0
9/29/2015,22.77777777777778,15.0,7.15264,0.0
9/30/2015,20.555555555555557,10.555555555555555,7.15264,0.0
10/1/2015,19.444444444444443,7.777777777777778,7.15264,0.0
10/2/2015,19.444444444444443,7.777777777777778,9.38784,0.0
10/3/2015,14.444444444444445,8.88888888888889,9.38784,0.0
10/4/2015,21.11111111111111,8.88888888888889,6.25856,0.0
10/5/2015,22.77777777777778,11.666666666666666,4.4704,0.0
10/6/2015,23.333333333333332,12.777777777777779,4.4704,0.0
10/7/2015,26.666666666666668,9.444444444444445,3.12928,0.0
10/8/2015,26.11111111111111,12.222222222222221,8.04672,0.0
10/9/2015,18.333333333333332,9.444444444444445,5.81152,0.5
10/10/2015,20.555555555555557,3.888888888888889,4.02336,0.0
10/11/2015,26.11111111111111,6.111111111111111,8.9408,0.0
10/12/2015,25.0,13.333333333333334,8.04672,0.0
10/13/2015,20.0,6.111111111111111,6.7056,0.0
10/14/2015,20.0,3.3333333333333335,4.4704,0.0
10/15/2015,22.77777777777778,2.7777777777777777,8.9408,0.0
10/16/2015,15.555555555555555,2.2222222222222223,6.7056,0.0
10/17/2015,11.666666666666666,-1.6666666666666667,9.38784,0.0
10/18/2015,16.11111111111111,-2.2222222222222223,4.02336,0.0
10/19/2015,22.77777777777778,6.111111111111111,11.62304,0.0
10/20/2015,26.11111111111111,10.0,9.83488,0.0
10/21/2015,27.77777777777778,12.222222222222221,9.83488,0.0
10/22/2015,25.555555555555557,12.777777777777779,6.7056,0.0
10/23/2015,23.333333333333332,11.11111111111111,6.7056,0.0
